Q1,,,Q2,,,Q3,,,Q4,,
Area, 06 < 13 Weeks , 13+ Weeks ,Area, 06 < 13 Weeks , 13+ Weeks ,Area, 06 < 13 Weeks , 13+ Weeks ,Area, 06 < 13 Weeks , 13+ Weeks 
Audiology,736,33,Audiology,789,149,Audiology,991,112,Audiology,732,63
Cardiology,"2,593",362,Cardiology,"2,022",281,Cardiology,"2,904",227,Cardiology,"2,831",289
Endoscopy,"3,450",661,Endoscopy,"3,788","1,114",Endoscopy,"5,675",992,Endoscopy,"6,667","1,230"
GI Physiology,311,102,GI Physiology,276,62,GI Physiology,172,142,GI Physiology,216,115
Imaging,"9,393",716,Imaging,"4,586",455,Imaging,"6,650",558,Imaging,"3,639",419
Neurophysiology,369,185,Neurophysiology,540,197,Neurophysiology,592,234,Neurophysiology,334,199
Ophthalmic Science,92,22,Ophthalmic Science,121,37,Ophthalmic Science,166,34,Ophthalmic Science,145,35
Pathology,828,353,Pathology,802,316,Pathology,"1,634",412,Pathology,"1,260",279
Respiratory Physiology,221,23,Respiratory Physiology,223,29,Respiratory Physiology,269,47,Respiratory Physiology,295,78
Urodynamics,250,33,Urodynamics,230,76,Urodynamics,340,46,Urodynamics,203,66
Vascular Technology,98,14,Vascular Technology,83,3,Vascular Technology,131,2,Vascular Technology,12,1
Total,"18,341","2,504",Total,"13,460","2,719",Total,"19,524","2,806",Total,"16,334","2,774"
